,SCIAN,MUN,genero,ocupacion,edad_num,edad_cat,sector,escolaridad,informal,municipio
2856,15,6,H,trabajador,61,"[60, 65)",Servicios,Carrera técnica o preparatoria,1,apodaca
2857,8,6,H,trabajador,26,"[25, 50)",Transporte y comunicaciones,Carrera técnica o preparatoria,0,apodaca
2858,19,6,H,independiente,47,"[25, 50)",Servicios,Primaria o Secundaria,1,apodaca
2859,19,6,H,otro,22,"[18, 25)",Servicios,Licenciatura,1,apodaca
2860,10,6,H,trabajador,31,"[25, 50)",Servicios,Postgrado,0,apodaca
2861,19,6,H,trabajador,36,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,apodaca
2862,7,6,F,independiente,36,"[25, 50)",Comercio,Licenciatura,1,apodaca
2863,12,6,H,trabajador,38,"[25, 50)",Servicios,Licenciatura,0,apodaca
2864,18,21,H,trabajador,27,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,escobedo
2865,7,21,F,trabajador,25,"[25, 50)",Comercio,Carrera técnica o preparatoria,0,escobedo
2866,8,21,H,independiente,30,"[25, 50)",Transporte y comunicaciones,Licenciatura,1,escobedo
2867,3,21,H,trabajador,34,"[25, 50)",Otro,Licenciatura,0,escobedo
2868,10,21,F,trabajador,34,"[25, 50)",Servicios,Licenciatura,0,escobedo
2869,12,21,H,trabajador,38,"[25, 50)",Servicios,Licenciatura,1,escobedo
2870,8,21,H,trabajador,43,"[25, 50)",Transporte y comunicaciones,Primaria o Secundaria,0,escobedo
2871,4,48,H,trabajador,39,"[25, 50)",Construcción,Primaria o Secundaria,0,santa_catarina
2872,7,48,F,trabajador,52,"[50, 60)",Comercio,Carrera técnica o preparatoria,0,santa_catarina
2873,5,48,F,trabajador,29,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,santa_catarina
2874,5,48,H,trabajador,22,"[18, 25)",Industria manufacturera,Primaria o Secundaria,1,santa_catarina
2875,5,48,H,trabajador,26,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,santa_catarina
2876,5,48,H,trabajador,38,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,santa_catarina
2877,15,48,H,trabajador,55,"[50, 60)",Servicios,Primaria o Secundaria,0,santa_catarina
2878,18,48,F,trabajador,53,"[50, 60)",Servicios,Primaria o Secundaria,0,santa_catarina
2879,13,48,H,trabajador,30,"[25, 50)",Servicios,Licenciatura,0,santa_catarina
2880,5,48,H,trabajador,25,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,santa_catarina
2881,12,39,H,independiente,43,"[25, 50)",Servicios,Licenciatura,0,monterrey
2882,20,39,H,trabajador,22,"[18, 25)",Gobierno,Licenciatura,0,monterrey
2883,15,39,H,trabajador,25,"[25, 50)",Servicios,Licenciatura,0,monterrey
2884,15,39,H,trabajador,40,"[25, 50)",Servicios,Licenciatura,1,monterrey
2885,16,39,H,trabajador,26,"[25, 50)",Servicios,Licenciatura,1,monterrey
2886,19,48,F,trabajador,49,"[25, 50)",Servicios,Primaria o Secundaria,1,santa_catarina
2887,7,48,F,independiente,63,"[60, 65)",Comercio,Primaria o Secundaria,1,santa_catarina
2888,10,48,F,trabajador,20,"[18, 25)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
2889,5,48,H,trabajador,33,"[25, 50)",Industria manufacturera,Primaria o Secundaria,1,santa_catarina
2890,17,48,F,trabajador,35,"[25, 50)",Servicios,Primaria o Secundaria,0,santa_catarina
2891,15,48,F,trabajador,31,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
2892,20,31,H,trabajador,58,"[50, 60)",Gobierno,Licenciatura,0,juarez
2893,7,31,F,trabajador,30,"[25, 50)",Comercio,Carrera técnica o preparatoria,0,juarez
2894,18,31,F,independiente,45,"[25, 50)",Servicios,Carrera técnica o preparatoria,1,juarez
2895,5,31,H,trabajador,32,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,juarez
2896,5,31,H,trabajador,41,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,1,juarez
2897,7,31,F,trabajador,42,"[25, 50)",Comercio,Primaria o Secundaria,0,juarez
2898,7,31,H,trabajador,25,"[25, 50)",Comercio,Carrera técnica o preparatoria,0,juarez
2899,19,31,F,trabajador,21,"[18, 25)",Servicios,Carrera técnica o preparatoria,1,juarez
2900,4,26,F,trabajador,35,"[25, 50)",Construcción,Carrera técnica o preparatoria,0,guadalupe
2901,4,26,F,trabajador,34,"[25, 50)",Construcción,Carrera técnica o preparatoria,0,guadalupe
2902,15,26,H,trabajador,65,"[65, 131)",Servicios,Carrera técnica o preparatoria,0,guadalupe
2903,15,26,H,trabajador,26,"[25, 50)",Servicios,Licenciatura,0,guadalupe
2904,12,26,H,trabajador,23,"[18, 25)",Servicios,Licenciatura,0,guadalupe
2905,7,26,F,independiente,49,"[25, 50)",Comercio,Carrera técnica o preparatoria,1,guadalupe
2906,5,26,F,trabajador,41,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,guadalupe
2907,5,21,H,independiente,32,"[25, 50)",Industria manufacturera,Primaria o Secundaria,1,escobedo
2908,6,21,F,trabajador,62,"[60, 65)",Comercio,Primaria o Secundaria,1,escobedo
2909,16,21,H,trabajador,44,"[25, 50)",Servicios,Primaria o Secundaria,0,escobedo
2910,18,21,F,trabajador,61,"[60, 65)",Servicios,Primaria o Secundaria,1,escobedo
2911,5,21,H,trabajador,59,"[50, 60)",Industria manufacturera,Carrera técnica o preparatoria,0,escobedo
2912,7,21,H,trabajador,16,"[15, 18)",Comercio,Primaria o Secundaria,1,escobedo
2913,7,21,F,independiente,85,"[65, 131)",Comercio,Primaria o Secundaria,0,escobedo
2914,19,21,H,trabajador,52,"[50, 60)",Servicios,Carrera técnica o preparatoria,0,escobedo
2915,5,21,F,trabajador,51,"[50, 60)",Industria manufacturera,Primaria o Secundaria,0,escobedo
2916,5,21,H,trabajador,28,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,escobedo
2917,5,48,H,trabajador,55,"[50, 60)",Industria manufacturera,Primaria o Secundaria,0,santa_catarina
2918,7,48,F,trabajador,56,"[50, 60)",Comercio,Primaria o Secundaria,0,santa_catarina
2919,5,48,F,trabajador,24,"[18, 25)",Industria manufacturera,Carrera técnica o preparatoria,0,santa_catarina
2920,4,48,H,trabajador,47,"[25, 50)",Construcción,Primaria o Secundaria,0,santa_catarina
2921,15,48,F,trabajador,46,"[25, 50)",Servicios,Licenciatura,0,santa_catarina
2922,19,48,H,trabajador,47,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
2923,5,48,H,trabajador,39,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,santa_catarina
2924,13,39,F,trabajador,35,"[25, 50)",Servicios,Licenciatura,0,monterrey
2925,15,39,H,trabajador,65,"[65, 131)",Servicios,Licenciatura,0,monterrey
2926,19,39,H,independiente,68,"[65, 131)",Servicios,Licenciatura,1,monterrey
2927,19,39,H,trabajador,50,"[50, 60)",Servicios,Primaria o Secundaria,0,monterrey
2928,19,39,F,independiente,49,"[25, 50)",Servicios,Primaria o Secundaria,0,monterrey
2929,8,39,F,trabajador,21,"[18, 25)",Transporte y comunicaciones,Licenciatura,0,monterrey
2930,19,39,F,trabajador,30,"[25, 50)",Servicios,Primaria o Secundaria,1,monterrey
2931,4,39,H,trabajador,30,"[25, 50)",Construcción,Primaria o Secundaria,1,monterrey
2932,18,39,F,independiente,30,"[25, 50)",Servicios,Primaria o Secundaria,1,monterrey
2933,18,6,H,trabajador,23,"[18, 25)",Servicios,Carrera técnica o preparatoria,1,apodaca
2934,4,6,H,trabajador,36,"[25, 50)",Construcción,Primaria o Secundaria,1,apodaca
2935,19,6,F,trabajador,36,"[25, 50)",Servicios,Primaria o Secundaria,1,apodaca
2936,5,6,H,trabajador,51,"[50, 60)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
2937,20,6,F,trabajador,20,"[18, 25)",Gobierno,Carrera técnica o preparatoria,0,apodaca
2938,16,39,F,trabajador,72,"[65, 131)",Servicios,Carrera técnica o preparatoria,1,monterrey
2939,12,39,F,independiente,42,"[25, 50)",Servicios,Licenciatura,1,monterrey
2940,19,39,H,trabajador,50,"[50, 60)",Servicios,Carrera técnica o preparatoria,1,monterrey
2941,15,39,H,trabajador,57,"[50, 60)",Servicios,Postgrado,0,monterrey
2942,20,39,F,trabajador,31,"[25, 50)",Gobierno,Carrera técnica o preparatoria,0,monterrey
2943,14,39,F,trabajador,26,"[25, 50)",Servicios,Licenciatura,1,monterrey
2944,5,39,H,trabajador,24,"[18, 25)",Industria manufacturera,Licenciatura,0,monterrey
2945,4,39,H,trabajador,41,"[25, 50)",Construcción,Licenciatura,0,monterrey
2946,15,39,F,trabajador,37,"[25, 50)",Servicios,Licenciatura,1,monterrey
2947,5,46,F,trabajador,46,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,san_nicolas
2948,7,46,H,trabajador,29,"[25, 50)",Comercio,Licenciatura,0,san_nicolas
2949,5,46,F,independiente,29,"[25, 50)",Industria manufacturera,Licenciatura,0,san_nicolas
2950,7,46,F,independiente,54,"[50, 60)",Comercio,Primaria o Secundaria,1,san_nicolas
2951,18,46,H,independiente,60,"[60, 65)",Servicios,Primaria o Secundaria,1,san_nicolas
2952,6,46,H,trabajador,48,"[25, 50)",Comercio,Primaria o Secundaria,0,san_nicolas
2953,5,46,F,trabajador,41,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,san_nicolas
2954,5,46,F,trabajador,36,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,san_nicolas
2955,7,46,F,independiente,62,"[60, 65)",Comercio,Primaria o Secundaria,0,san_nicolas
2956,5,46,H,trabajador,33,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,san_nicolas
2957,7,46,F,trabajador,37,"[25, 50)",Comercio,Primaria o Secundaria,0,san_nicolas
2958,14,48,H,trabajador,53,"[50, 60)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
2959,5,48,H,trabajador,47,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,santa_catarina
2960,7,48,F,trabajador,16,"[15, 18)",Comercio,Carrera técnica o preparatoria,1,santa_catarina
2961,5,48,H,trabajador,20,"[18, 25)",Industria manufacturera,Carrera técnica o preparatoria,0,santa_catarina
2962,8,48,H,independiente,52,"[50, 60)",Transporte y comunicaciones,Carrera técnica o preparatoria,0,santa_catarina
2963,17,48,H,trabajador,30,"[25, 50)",Servicios,Licenciatura,1,santa_catarina
2964,16,48,F,trabajador,32,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
2965,6,48,F,trabajador,25,"[25, 50)",Comercio,Licenciatura,0,santa_catarina
2966,5,48,H,trabajador,47,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,santa_catarina
2967,7,48,H,trabajador,25,"[25, 50)",Comercio,Primaria o Secundaria,1,santa_catarina
2968,5,48,H,trabajador,21,"[18, 25)",Industria manufacturera,Primaria o Secundaria,0,santa_catarina
2969,19,48,H,trabajador,15,"[15, 18)",Servicios,Primaria o Secundaria,1,santa_catarina
2970,5,6,H,trabajador,61,"[60, 65)",Industria manufacturera,Carrera técnica o preparatoria,0,apodaca
2971,5,6,H,trabajador,57,"[50, 60)",Industria manufacturera,Primaria o Secundaria,0,apodaca
2972,14,6,F,trabajador,53,"[50, 60)",Servicios,Primaria o Secundaria,1,apodaca
2973,6,6,H,independiente,36,"[25, 50)",Comercio,Primaria o Secundaria,1,apodaca
2974,5,6,F,trabajador,34,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,apodaca
2975,8,6,H,trabajador,53,"[50, 60)",Transporte y comunicaciones,Carrera técnica o preparatoria,0,apodaca
2976,7,6,H,trabajador,42,"[25, 50)",Comercio,Primaria o Secundaria,1,apodaca
